Territory,lon,lat
Guernsey,49.418165,-2.562683
Guernsey,49.729904,-2.167079
Jersey,49.176629,-2.226709
Isle of Man,54.264383,-4.459771
Cayman Islands,19.327174,-81.115378
Cayman Islands,19.751787,-79.723653
Turks and Caicos Islands,21.632666,-72.472575
Turks and Caicos Islands,21.83091,-71.675184
British Virgin Islands,18.747555,-64.333763
British Virgin Islands,18.484624,-64.401936
British Virgin Islands,18.451473,-64.751043
Montserrat,16.692434,-62.167746
Montserrat,16.811618,-62.192333
Anguilla,18.589548,-63.42602
Anguilla,18.282811,-63.254768
Anguilla,18.293648,-62.935606
Pitcairn Islands,-25.068626,-130.113007
Pitcairn Islands,-23.927509,-130.740226
Pitcairn Islands,-24.371428,-128.32835
Pitcairn Islands,-24.686255,-124.782518
Falkland Islands,-51.002984,-61.306947
Falkland Islands,-52.23998,-60.665661
Falkland Islands,-52.444819,-59.113351
Falkland Islands,-51.682156,-57.719465
Falkland Islands,-51.240817,-58.959105
South Georgia and the South Sandwich Islands,-54.007204,-38.205719
South Georgia and the South Sandwich Islands,-54.491771,-37.081909
South Georgia and the South Sandwich Islands,-54.182932,-36.49872
South Georgia and the South Sandwich Islands,-54.80997,-35.791266
South Georgia and the South Sandwich Islands,-59.443453,-27.184307
South Georgia and the South Sandwich Islands,-58.435566,-26.381376
South Georgia and the South Sandwich Islands,-57.802861,-26.483484
South Georgia and the South Sandwich Islands,-57.098911,-26.707605
South Georgia and the South Sandwich Islands,-56.300954,-27.58123
Tristan da Cunha,-40.307934,-9.945276
Tristan da Cunha,-37.302949,-12.69919
Tristan da Cunha,-37.070697,-12.250036
Ascension Island,-7.954517,-14.34129
Saint Helena,-15.975354,-5.698903
British Indian Ocean Territory,-5.24009,71.963702
British Indian Ocean Territory,-7.442927,72.427812
Bermuda,32.316935,-64.735116
